dt,U_dN
0,0
0.01,0.000990285
0.02,0.0039583
0.03,0.00889571
0.04,0.0157889
0.05,0.0246191
0.06,0.0353626
0.07,0.0479903
0.08,0.0624684
0.09,0.0787582
0.1,0.096816
0.11,0.116594
0.12,0.138038
0.13,0.161092
0.14,0.185694
0.15,0.211777
0.16,0.239272
0.17,0.268106
0.18,0.298199
0.19,0.329472
0.2,0.36184
0.21,0.395215
0.22,0.429507
0.23,0.464621
0.24,0.500464
0.25,0.536935
0.26,0.573936
0.27,0.611364
0.28,0.649115
0.29,0.687084
0.3,0.725166
0.31,0.763253
0.32,0.801237
0.33,0.839011
0.34,0.876466
0.35,0.913494
0.36,0.949988
0.37,0.985841
0.38,1.02095
0.39,1.0552
0.4,1.0885
0.41,1.12073
0.42,1.15181
0.43,1.18164
0.44,1.21011
0.45,1.23714
0.46,1.26263
0.47,1.28649
0.48,1.30865
0.49,1.32902
0.5,1.34753
0.51,1.36409
0.52,1.37865
0.53,1.39113
0.54,1.40148
0.55,1.40963
0.56,1.41554
0.57,1.41916
0.58,1.42044
0.59,1.41935
0.6,1.41585
0.61,1.40991
0.62,1.40152
0.63,1.39066
0.64,1.37731
0.65,1.36147
0.66,1.34313
0.67,1.3223
0.68,1.29899
0.69,1.27321
0.7,1.24499
0.71,1.21434
0.72,1.1813
0.73,1.14591
0.74,1.10821
0.75,1.06823
0.76,1.02604
0.77,0.981686
0.78,0.935233
0.79,0.886744
0.8,0.83629
0.81,0.783946
0.82,0.72979
0.83,0.673904
0.84,0.616375
0.85,0.557295
0.86,0.496756
0.87,0.434857
0.88,0.371697
0.89,0.307381
0.9,0.242016
0.91,0.175709
0.92,0.108573
0.93,0.0407202
0.94,-0.027733
0.95,-0.0966698
0.96,-0.165972
0.97,-0.235519
0.98,-0.305192
0.99,-0.374868
1,-0.444425
1.01,-0.513743
1.02,-0.582698
1.03,-0.65117
1.04,-0.719036
1.05,-0.786176
1.06,-0.852472
1.07,-0.917805
1.08,-0.982057
1.09,-1.04511
1.1,-1.10686
1.11,-1.1672
1.12,-1.226
1.13,-1.28317
1.14,-1.3386
1.15,-1.3922
1.16,-1.44386
1.17,-1.4935
1.18,-1.54101
1.19,-1.58633
1.2,-1.62936
1.21,-1.67002
1.22,-1.70824
1.23,-1.74396
1.24,-1.7771
1.25,-1.80761
1.26,-1.83543
