dt,WR
0,1.5
0.01,1.50051
0.02,1.50204
0.03,1.5046
0.04,1.5082
0.05,1.51286
0.06,1.51859
0.07,1.52541
0.08,1.53335
0.09,1.54245
0.1,1.55274
0.11,1.56424
0.12,1.57702
0.13,1.5911
0.14,1.60654
0.15,1.62339
0.16,1.64169
0.17,1.6615
0.18,1.68289
0.19,1.70589
0.2,1.73058
0.21,1.75702
0.22,1.78526
0.23,1.81536
0.24,1.84739
0.25,1.88141
0.26,1.91747
0.27,1.95564
0.28,1.99598
0.29,2.03853
0.3,2.08336
0.31,2.13051
0.32,2.18003
0.33,2.23198
0.34,2.28638
0.35,2.34329
0.36,2.40272
0.37,2.46472
0.38,2.52931
0.39,2.59651
0.4,2.66633
0.41,2.73878
0.42,2.81386
0.43,2.89157
0.44,2.97191
0.45,3.05484
0.46,3.14035
0.47,3.22841
0.48,3.31898
0.49,3.41202
0.5,3.50746
0.51,3.60525
0.52,3.70533
0.53,3.8076
0.54,3.91199
0.55,4.01841
0.56,4.12675
0.57,4.23691
0.58,4.34877
0.59,4.46219
0.6,4.57706
0.61,4.69323
0.62,4.81055
0.63,4.92886
0.64,5.04801
0.65,5.16783
0.66,5.28813
0.67,5.40873
0.68,5.52946
0.69,5.6501
0.7,5.77046
0.71,5.89034
0.72,6.00952
0.73,6.12779
0.74,6.24493
0.75,6.36071
0.76,6.47491
0.77,6.58731
0.78,6.69767
0.79,6.80576
0.8,6.91134
0.81,7.01418
0.82,7.11404
0.83,7.2107
0.84,7.30391
0.85,7.39345
0.86,7.47909
0.87,7.5606
0.88,7.63775
0.89,7.71033
0.9,7.77811
0.91,7.8409
0.92,7.89848
0.93,7.95066
0.94,7.99725
0.95,8.03805
0.96,8.07289
0.97,8.10161
0.98,8.12404
0.99,8.14004
1,8.14946
1.01,8.15217
1.02,8.14806
1.03,8.13701
1.04,8.11894
1.05,8.09374
1.06,8.06137
1.07,8.02175
1.08,7.97484
1.09,7.9206
1.1,7.85903
1.11,7.79012
1.12,7.71387
1.13,7.63031
1.14,7.53948
1.15,7.44143
1.16,7.33624
1.17,7.22398
1.18,7.10476
1.19,6.97868
1.2,6.84587
1.21,6.70648
1.22,6.56067
1.23,6.4086
1.24,6.25046
1.25,6.08646
1.26,5.91679
1.27,5.7417
1.28,5.56142
1.29,5.3762
1.3,5.1863
1.31,4.99202
1.32,4.79362
1.33,4.59142
1.34,4.38571
1.35,4.17683
1.36,3.96509
1.37,3.75083
1.38,3.53441
1.39,3.31616
1.4,3.09645
1.41,2.87564
1.42,2.6541
1.43,2.43221
1.44,2.21033
1.45,1.98886
1.46,1.76816
1.47,1.54862
1.48,1.33063
1.49,1.11457
1.5,0.900806
1.51,0.689728
1.52,0.481707
1.53,0.277112
1.54,0.0763092
1.55,-0.120343
1.56,-0.312493
1.57,-0.499794
1.58,-0.681912
